"idProduto";"estoqueControlado";"barcodeProduto";"nomeProduto";"idLoja";"qtdeEstoqueMinimo";"qtdeEstoqueAtual"
"86";"1";"7891000100103";"LEITE CONDENSADO MOCA NESTLE LT 395G";"1";"0.0000";"0.0000"
"406";"1";"7891000528709";"CALDO DE GALINHA MAGGI 63G";"1";"0.0000";"0.0000"
"410";"1";"7895800201503";"TRIDENTE DE MORANGO C/5  8G";"1";"0.0000";"0.0000"
"411";"1";"7895800304211";"TRIDENT DE HORTELA C/5  8G";"1";"0.0000";"0.0000"
"412";"1";"7895800430002";"TRIDENT TUTTI-FRUTTI C/5  8G";"1";"0.0000";"0.0000"
"413";"1";"7895800304228";"TRIDENTE DE MENTA C/5  8G";"1";"0.0000";"0.0000"
"414";"1";"7895800304235";"TRIDENT CANELA C/5  8G";"1";"0.0000";"0.0000"
"416";"1";"7896020417149";"THREE BOND 2G TRADICIONAL";"1";"0.0000";"0.0000"
"429";"1";"78912366";"CHOCOLATE BATON BRANCO 16G";"1";"0.0000";"0.0000"
"430";"1";"7895800304679";"HALLS DE MORANGO C/10 34G";"1";"0.0000";"0.0000"
"432";"1";"7895800420003";"HALLS DE UVA VERDE C/10 34G";"1";"0.0000";"0.0000"
"433";"1";"7895800303313";"HALLS DE EXTRA FORTE C/10 34G";"1";"0.0000";"0.0000"
"434";"1";"7895800300145";"HALLS DE CEREJA C/10  34G";"1";"0.0000";"0.0000"
"435";"1";"7895800300381";"HALLS DE MENTA C/10 37G";"1";"0.0000";"0.0000"
"436";"1";"78600027";"TIC TAC LARANJA 16G";"1";"0.0000";"0.0000"
"438";"1";"7891000462300";"CHOCOLATE CHOKITO 32G";"1";"0.0000";"0.0000"
"439";"1";"7891000460207";"CHOCOLATE PRESTIGIO 33G";"1";"0.0000";"0.0000"
"440";"1";"78912359";"CHOCOLATE BATON AO LEITE  16G";"1";"0.0000";"0.0000"
"564";"1";"7891000464908";"CHOCOLATE CHARGE 40G";"1";"0.0000";"0.0000"
"703";"1";"7896090122707";"ESPONJA DE AÇO 60G ASSOLAN";"1";"0.0000";"0.0000"
"900";"1";"7891022638004";"DETERGENTE NEUTRO 500ML LIMPOL";"1";"0.0000";"0.0000"
"1004";"1";"7891132007486";"VONO SOPA MILHO C/FRANGO 15G";"1";"0.0000";"0.0000"
"1061";"1";"7896417209173";"MISTURA PARA BOLO  LIMAO VILMA 400G";"1";"0.0000";"0.0000"
"1065";"1";"7894900010015";"REFRIGERANTE COCA COLA LATA  350ML";"1";"100.0000";"110.0000"
"1083";"1";"7891528038025";"CREME DENTAL SORRISO DENTES BRANCOS 50G";"1";"0.0000";"0.0000"
"1085";"1";"7891024134702";"CREME DENTAL COLGATE MENTA REFRESCANTE 90G";"1";"0.0000";"0.0000"
"1091";"1";"7896090400041";"SABONETE FRANCIS LUXO LAVANDA DE GRASSE 90G";"1";"0.0000";"0.0000"
"1121";"1";"7896021304974";"MISTURA DE BOLO ECON. CHOCOLATE SANTA AMALIA 400G";"1";"0.0000";"0.0000"
"1243";"1";"7896061951343";"LENCOS DE PAPEL KLEENEX 10 UND";"1";"0.0000";"0.0000"
"1423";"1";"7896007912124";"FOSFORO FIAT LUX";"1";"0.0000";"0.0000"
"1451";"1";"7891022850031";"ESPONJA DE AÇO Q LUSTRO";"1";"0.0000";"0.0000"
"1757";"1";"7891962011295";"TORRADA BAUDUCCO LIGHT 160G";"1";"0.0000";"0.0000"
"1761";"1";"7891000919705";"BISCOITO  LEITE E MEL 200G NESFIT";"1";"0.0000";"0.0000"
"1774";"1";"7894900551051";"DEL VALLE FRUT LIMAO 450ML";"1";"0.0000";"0.0000"
"1775";"1";"7894900556056";"DEL VALLE FRUT CITRUS PUNCH 450ML";"1";"0.0000";"0.0000"
